Iteration: 3840, Cost: 5741
Iteration: 3860, Cost: 5741
Iteration: 3880, Cost: 5741
Iteration: 3900, Cost: 5741
Iteration: 3920, Cost: 5741
Iteration: 3940, Cost: 5685
Iteration: 3960, Cost: 5685
Iteration: 3980, Cost: 5587
Iteration: 4000, Cost: 5587
Iteration: 4020, Cost: 5558
Iteration: 4040, Cost: 5558
Iteration: 4060, Cost: 5558
Iteration: 4080, Cost: 5558
Iteration: 4100, Cost: 5558
Iteration: 4120, Cost: 5558
Iteration: 4140, Cost: 5558
Iteration: 4160, Cost: 5558
Iteration: 4180, Cost: 5558
Iteration: 4200, Cost: 5558
Iteration: 4220, Cost: 5558
Iteration: 4240, Cost: 5558
Iteration: 4260, Cost: 5558
Iteration: 4280, Cost: 5558
Iteration: 4300, Cost: 5543
Iteration: 4320, Cost: 5543
Iteration: 4340, Cost: 5543
Iteration: 4360, Cost: 5525
Iteration: 4380, Cost: 5525
Iteration: 4400, Cost: 5492
Iteration: 4420, Cost: 5492
Iteration: 4440, Cost: 5482
Iteration: 4460, Cost: 5482
Iteration: 4480, Cost: 5482
Iteration: 4500, Cost: 5482
Iteration: 4520, Cost: 5482
Iteration: 4540, Cost: 5482
Iteration: 4560, Cost: 5482
Iteration: 4580, Cost: 5482
Iteration: 4600, Cost: 5482
Iteration: 4620, Cost: 5482
Iteration: 4640, Cost: 5471
Iteration: 4660, Cost: 5444
Iteration: 4680, Cost: 5444
Iteration: 4700, Cost: 5444
Iteration: 4720, Cost: 5444
Iteration: 4740, Cost: 5444
Iteration: 4760, Cost: 5444
Iteration: 4780, Cost: 5444
Iteration: 4800, Cost: 5441
Iteration: 4820, Cost: 5441
Iteration: 4840, Cost: 5441
Iteration: 4860, Cost: 5441
Iteration: 4880, Cost: 5441
Iteration: 4900, Cost: 5441
Iteration: 4920, Cost: 5441
Iteration: 4940, Cost: 5441
Iteration: 4960, Cost: 5441
Iteration: 4980, Cost: 5441
Iteration: 5000, Cost: 5431
Iteration: 5020, Cost: 5431
Iteration: 5040, Cost: 5431
Iteration: 5060, Cost: 5431
Iteration: 5080, Cost: 5394
Iteration: 5100, Cost: 5394
Iteration: 5120, Cost: 5394
Iteration: 5140, Cost: 5394
Iteration: 5160, Cost: 5394
Iteration: 5180, Cost: 5348
Iteration: 5200, Cost: 5348
Iteration: 5220, Cost: 5348
Iteration: 5240, Cost: 5348
Iteration: 5260, Cost: 5348
Iteration: 5280, Cost: 5348
Iteration: 5300, Cost: 5348
Iteration: 5320, Cost: 5348
Iteration: 5340, Cost: 5333
Iteration: 5360, Cost: 5333
Iteration: 5380, Cost: 5333
Iteration: 5400, Cost: 5333
Iteration: 5420, Cost: 5333
Iteration: 5440, Cost: 5320
Iteration: 5460, Cost: 5306
Iteration: 5480, Cost: 5306
Iteration: 5500, Cost: 5306
Iteration: 5520, Cost: 5306
Iteration: 5540, Cost: 5306
Iteration: 5560, Cost: 5306
Iteration: 5580, Cost: 5299
Iteration: 5600, Cost: 5299
Iteration: 5620, Cost: 5299
Iteration: 5640, Cost: 5299
Iteration: 5660, Cost: 5284
Iteration: 5680, Cost: 5284
Iteration: 5700, Cost: 5284
Iteration: 5720, Cost: 5284
Iteration: 5740, Cost: 5284
Iteration: 5760, Cost: 5284
Iteration: 5780, Cost: 5284
Iteration: 5800, Cost: 5272
Iteration: 5820, Cost: 5272
Iteration: 5840, Cost: 5272
Iteration: 5860, Cost: 5272
Iteration: 5880, Cost: 5272
Iteration: 5900, Cost: 5272
Iteration: 5920, Cost: 5272
Iteration: 5940, Cost: 5272
Iteration: 5960, Cost: 5272
Iteration: 5980, Cost: 5272
Iteration: 6000, Cost: 5272
Iteration: 6020, Cost: 5263
Iteration: 6040, Cost: 5263
Iteration: 6060, Cost: 5263
Iteration: 6080, Cost: 5263
Iteration: 6100, Cost: 5263
Iteration: 6120, Cost: 5263
Iteration: 6140, Cost: 5263
Iteration: 6160, Cost: 5263
Iteration: 6180, Cost: 5259
Iteration: 6200, Cost: 5259
Iteration: 6220, Cost: 5259
Iteration: 6240, Cost: 5259
Iteration: 6260, Cost: 5259
Iteration: 6280, Cost: 5259
Iteration: 6300, Cost: 5219
Iteration: 6320, Cost: 5219
Iteration: 6340, Cost: 5210
Iteration: 6360, Cost: 5210
Iteration: 6380, Cost: 5210
Iteration: 6400, Cost: 5210
Iteration: 6420, Cost: 5210
Iteration: 6440, Cost: 5210
Iteration: 6460, Cost: 5210
Iteration: 6480, Cost: 5210
